Date,Type,Country,Sex,Species
2025-03-10,Unprovoked,Australia,M,white shark
2025-03-07,Unprovoked,Australia,F ,bull shark
2025-02-27,Unprovoked,Australia,M,not stated
2025-02-27,Questionable,Philippines,M,not stated 
2025-02-22,Unprovoked,Australia,F,not stated
2025-02-22,Questionable,Australia,M,mako shark
2025-02-22,Unprovoked,Australia,M,not stated
2025-02-10,Unprovoked,Bahamas,F,bull shark
2025-02-10,Unprovoked,Bahamas,F,bull shark
2025-02-07,Unprovoked,Turks and Caicos,F,bull shark
2025-02-03,Unprovoked,Australia,F,bull shark
2025-01-23,Unprovoked,Australia,M,not stated
2025-01-22,Unprovoked,Australia,M,copper shark
2025-01-03,Unprovoked,Mozambique,M,described as a large terrifying animal
2025-01-11,Provoked,USA,M,not stated
2025-01-02,Unprovoked,New Caledonia,M,bull shark
2025-01-02,Unprovoked,Australia,M,white shark
2024-12-30,Unprovoked,Mozambique,M ,unknown
2024-12-29,Unprovoked,Egypt,M,tiger shark
2024-12-29,Unprovoked,Egypt,M,tiger shark
2024-12-28,Unprovoked,Australia,M,unknown 
2024-12-02,Unprovoked,Australia,M,not stated
2024-12-01,Unprovoked,Australia,M,1m shark species unknown
2024-11-30,Unprovoked,Thailand,F,unknown
2024-11-19,Unprovoked,New Zealand,M,white shark
2024-11-15,Unprovoked,Maldives,F,not stated
2024-11-01,Unprovoked,Hawaii,M,not stated
2024-10-31,Unprovoked,Australia,F,tiger shark
2024-10-25,Unprovoked,USA,M,bull shark
2024-10-14,Unprovoked,Honduras,M,bull shark
2024-10-11,Unprovoked,USA,M,bull shark
2024-09-26,Questionable,Indonesia,F,tiger shark
2024-09-17,Unprovoked,Honduras,M,bull shark
2024-09-16,Unprovoked,Morocco,F,white shark
2024-08-26,Unprovoked,Jamaica,M,tiger shark
2024-08-06,Unprovoked,Belize,F,reef shark 6ft (1.8m)
2024-07-23,Unprovoked,Australia,M,white shark
2024-07-18,Unprovoked,Australia,M,undetermined small shall shark
2024-07-08,Unprovoked,USA,M,blacktip shark
2024-07-05,Unprovoked,USA,M,not specified
2024-07-04,Unprovoked,USA,F,bull shark
2024-07-04,Unprovoked,USA,F,6 ft shark
2024-07-04,Unprovoked,USA,F,6 ft shark
2024-07-04,Unprovoked,USA,M,not specified
2024-07-04,Unprovoked,USA,M,6ft shark
2024-06-23,Unprovoked,USA,M,not stated
2024-06-07,Unprovoked,USA,F,tiger shark
2024-06-07,Unprovoked,USA,F,bull shark
2024-06-07,Unprovoked,USA,F,bull shark
2024-06-02,Unprovoked,USA,M,not specified
2024-06-02,Unprovoked,Maldive Islands,M,not specified
2024-05-28,Unprovoked,USA,F,not specified
2024-05-24,Unprovoked,Turks and Caicos,M,large shark
2024-05-23,Unprovoked,French Polynesia,M,2.5m shark
2024-05-02,Unprovoked,USA,M,sandbar shark
2024-04-26,Unprovoked,Tobago,M,bull shark
2024-04-26,Unprovoked,Bahamas,M,carribean reef shark 7ft
2024-04-20,Unprovoked,Australia,M,white shark
2024-04-20,Unprovoked,Australia,M,not specified
2024-04-08,Unprovoked,Maldive Islands,M,not specified
2024-03-15,Unprovoked,AUSTRALIA,F,tiger shark
2024-03-04,Unprovoked,USA,M,tiger shark
2024-03-02,Unprovoked,USA,F,3' to 4' shark
2024-02-25,Unprovoked,AUSTRALIA,F,tiger shark
2024-02-14,Unprovoked,INDIA,M,bull shark
2024-02-04, Provoked,TRINIDAD,M,blacktip shark
2024-01-29,Unprovoked,AUSTRALIA,F,bull shark
2024-01-15,Unprovoked,BAHAMAS,M,
2024-01-09,Unprovoked,AUSTRALIA,M,white shark
2024-01-05,Provoked,SOUTH AFRICA,M,tiger shark
2023-12-30,Unprovoked,USA,M,
2023-12-29,Unprovoked,MEXICO,M,white shark
2023-12-28,Unprovoked,AUSTRALIA,M,white shark
2023-12-25,Unprovoked,AUSTRALIA,M,
2023-12-24,Unprovoked,AUSTRALIA,M,broze whaler?
2023-12-18,Unprovoked,NEW ZEALAND,F,broadnose sevengill shark
2023-12-14,Questionable,MEXICO,M,shark involment not confirmed
2023-12-14,Questionable,MEXICO,F,shark involment not confirmed
2023-12-08,Unprovoked,AUSTRALIA,M,
2023-12-04,Unprovoked,BAHAMAS,F,
2023-12-02,Unprovoked,MEXICO,F,
2023-11-30,Unprovoked,AUSTRALIA,M,bull shark
